,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
56997,apache_flink,8dee02d955adbf67257cd5bb16dcb8a9b6aab178,1367240952,"Merge branch 'iterations' into ozone_master
","2ebd88edd24737e13a059b150e83410408e75cc2,0c07b8e0ad1a4feca3b5b5c6704b6297e5296526",1388,0,0,0,1388,"3,3,22,0,10,41,52,7,0,288,653,223,56,14,17,0",15,1389,14.0,0
101627,opensec-cn_kunpeng,785835c9f1748a6b7fbade3876345d6507e2c986,1571736837,"remove vendor files
",83fea934a8bc84251d0945dac99103176a579a51,0,4521,0,0,4521,"6,18,97,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0",5,141,-13.0,0
120853,wildhoney_magento-on-angular,9e6e0074dd2d24df2bbf59c4239490fe79382d4a,1375821073,"Added Magento. Fixes #1
",1e2c4912765bdc368c35b6756ad610515ce7ca0b,12501,0,1,0,12502,"2,15,30,229,1076,1849,1852,1672,2034,1560,1021,743,293,104,17,5",16,12502,15.0,0
149986,team-dodn_spring-boot-kotlin-template,094656ca5fee3d5aaf3b49ddbc7861f498baa6af,1675195156,"Initial Template
",66b359e67d15027fe5641955c51c296f38bd6b25,76,0,0,0,76,"9,1,12,0,0,9,5,0,4,2,11,12,10,2",14,77,13.0,0
1222,postgresml_postgresml,2c16cf2653c1c1156df485e98198dafe9cc78a43,1661909588,"Rust extension -  XGBoost (#286)

* Rust XGBoost POC

* README

* vendor

* cleanup

* remove submodule

* readme

* Vendor

* readme

* Cleaner

* version

* move files",68859f38011c23038d512c841ce8b83badb63e4b,1448,0,0,0,1448,"7,24,54,52,81,28,103,727,391,45,8,0,1,2,37,53,32",17,1645,11.0,1
29029,roznoshchik_lurnby,7b451616103d93bb743d94304ea79845b9cd863c,1588505581,"Current working version of the prototype.
Can pull in text from a url
Can pass that text to the function that cleans it and returns it without distractions.
Can then republish that text to the browser with additional code and controls.
At the moment:
Can change the background - Dark, Light, Sepia
Can manipulate the text size, line height, font family
Can adjust margins.
Can hide the settings sidebar.
",bafc51ecb35e7baf15d2f3b22b602e77b3fdd35d,4115,0,0,0,4115,"1,4,10,51,23,75,987,1040,1316,506,96,7",12,4116,11.0,1
33189,microsoft_infersharp,b639e8e86e7a7df0a4f6d8d95bde06a36293fc34,1600124343,"Initial commit (#1)

",528ba9353ec6c007b344a4f21d73b78f14bc0449,2944,0,0,0,2944,"14,39,72,132,806,303,701,760,63,22,33,0,3,0,1",15,2949,14.0,1
33197,microsoft_infersharp,744081cac16df5f35e90b98ffaf63e5eaa1b4f63,1614799039,"Consolidate Infer# analysis backend (#43)

* Update dockerfile

* Remove result parser

* Remove our version of Infer

* Update instructions

* Remove result parser from dockerfile

* Updated C# model loading to use sqlite DB (#41)

* Compatibility Bug Fixes For Latest Infer Update (#39)

* bug fixes

* edits

* minor fix

* run code cleanup

* revert dockerfile and infer backend modifications

* undo reference param updates

* resource leak eport compaible with latest infer (#42)

* Update C# model build

* Update run steps

* Update readme

* Update Azure Pipelines

* Remove a build script

Co-authored-by: Anant Kharkar <71357868+ankharka@users.noreply.github.com>
Co-authored-by: Matthew Jin <38902361+matjin@users.noreply.github.com>
Co-authored-by: Xiaoyu Liu <lixiaoyu@microsoft.com>",595273f4f8d61b7e6d2afdd6715c3d9f204cbee3,0,2833,0,0,2833,"13,16,36,58,0,0,0,0,0,0,0,0,0,0,0",4,123,-11.0,1
36210,openvanilla_openvanilla,eb5005f81cc6485cc2a40de34f7b96fd72524d21,1350860573,"Retire pre-1.0 files.
",f0cb2f33708bec69543e6eb2bc963172bfe01451,0,412,0,0,412,"2,62,0,29,0,0,0,0,0,0,0,0,0,0,0",4,93,-11.0,1
69352,ulearnpro_ulearn,9427d4a45e9eb981ac7ffde0016d631fca8c08c2,1565786978,"Initial commit
",da50aef2cfc8d267817f4849652fa5f6810ae6be,1802,0,0,0,1802,"10,30,72,180,537,61,593,16,6,5,123,100,17,44,9",15,1803,14.0,1
76707,zhaoolee_starsandclown,9a873d5d883dc97c29e7f05f91d50e412f015d7e,1566730176,"ok
",23e7ee3b3c12aa263e6646184c45bfd2ef0b7865,8512,0,29,0,8541,"10,39,857,759,1270,988,1461,633,775,296,612,153,418,97,86,62,21,12",18,8549,15.0,1
134964,mrrio_vtop,4892811ef5758d35f7efcae39013223351db2578,1400641884,"Early days. Look ma, I drew a box
",25733421b8d8a6b9f465e5b0baedea6f6b72fae5,891,0,0,0,891,"4,0,20,2,70,58,220,148,163,158,26,25,1",13,895,12.0,1
134965,mrrio_vtop,efaa33125731000e5c619ea189672d8a62441217,1400641911,"Remove node_modules
",4892811ef5758d35f7efcae39013223351db2578,0,891,0,0,891,"4,0,0,0,0,0,0,0,0,0,0,0,0",1,4,-12.0,1
39914,hootrhino_rulex,d69364176570a7763334f518335979f68be09a76,1631699379,"feat: init dashboard ui
",ea4242e9b383127e3b450806f5543ce26769a5f8,739,1,0,0,740,"9,44,12,2,1,21,51,24,4,14,100,53,12,4,5,155,237,56,0",18,804,14.0,2
76995,ecjia_ecjia-daojia,7fec03618facca2e4a7b819d794218e16773fb8d,1487922997,"提交到家代码，v1.3.0-2017022263
",6b46913d0a8f636cba16d660636787523003c5f6,9582,0,0,0,9582,"8,2,62,520,1658,2080,1761,2135,970,293,68,11,10,4,4",15,9586,14.0,2
128706,johanbrandhorst_certify,10e26c5911896934975b167e2dc3d095bc2b4a0f,1521933113,"Merge pull request #1 from johanbrandhorst/initial-checkin

Initial checkin","ffd7d0e376dd88f071335fe66d9427e317c06b3a,9dac75aba67f777ceb1d180c66287e60e8d12e65",1147,0,0,0,1147,"10,2,0,43,224,464,324,43,19,0,14,0,3,2",14,1148,13.0,2
145108,eclipse_kura,d6c58a7acfe89ced372b953a8df8b52aa13eef3f,1396901043,"Initial commit of Kura codebase
",2d939e320ae481f97fd1cc28b94481f1d42e5660,1169,0,0,0,1169,"3,3,95,178,38,51,180,42,23,106,284,103,28,37,0,0,0",14,1171,13.0,2
160118,game-town_iogame,938d1d0c2f0b300506d0fe47d23a19a42a4524ff,1657870751,":whale:
",3f716f4656548a61aee03e7abf09aa8733dc5af4,413,0,0,0,413,"6,4,22,1,0,3,1,5,0,2,21,94,144,80,25,6",16,414,15.0,2
5959,kubernetes-csi_external-snapshotter,cc19fd383fa34c3fa7f7e2614d0f4872fe21a2c0,1534206037,"Merge pull request #6 from xing-yang/snapshot_apis

Add Snapshot APIs","36b1de034172fdcbfcb8eea1617a7fc0dd9add05,3832c9d2b0c7a92ff2613a4e19d9b872850e0f49",17732,0,0,0,17732,"11,2,1,154,903,2884,4796,3167,1535,1304,1281,926,508,83,103,79,5,4",18,17746,15.0,3
55471,pedrommcarrasco_constrictor,dade763c1a57646264be457c068aa99b24b04842,1527031274,Removed Carthage folder.,49e93d94ee4f50acc52c57fcd695dfec8bd3da46,0,196,0,0,196,"5,5,10,13,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",6,53,-15.0,3
56490,kcl-lang_kcl,f6b831bd57b970119fe3d25ddd35be3269127a3f,1652437807,"Initial project
",68d51038011602e0649f7865fbe22a4fc74b1c98,4348,0,0,0,4348,"10,14,72,153,906,2202,871,78,15,15,12,1",12,4349,11.0,3
59545,corona-warn-app_cwa-server,107e48a17dbcd3be1c7fe2b5add6b90dd7f4746f,1588457469,"Added initial project setup (#4)

",a25c5fde50c4536ca1b39b889b93f3c94fcbc15b,60,0,0,0,60,"7,18,14,0,0,6,0,0,1,0,5,11,0,0,0,0,0",12,62,11.0,3
94560,swagger-api_swagger-editor,dbfe506e21ad9d4bce7a712259ae5c29101c2663,1399665803,"adding in the node_modules and bower_components, since we had to add yaml highlighting rules for ace and you have to dowload those anyway.
",bfa5a7564509adee7cbfae52c19c5f00380ddc05,13568,0,0,0,13568,"13,9,213,209,1421,1325,1417,1398,1206,1730,1780,372,661,418,739,319,304,96,32,0,0",19,13662,13.0,3
94577,swagger-api_swagger-editor,4d16e22e7924e0463155af00b0f4e146e6affd43,1400296771,"Remove node_modules and bower_components

Fixes #43
",6d3925ce43087d27dd0a6ba530e28946f39ea512,0,14428,0,0,14428,"13,10,39,13,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",6,113,-15.0,3
4611,blankj_androidutilcode,5cada7efa7e7503b4f1ed3f27aaabd532b463013,1551096857,"Merge pull request #843 from Blankj/1.23.5

1.23.5","64fa78a278f9b413fad571985986df8fd0017db4,a799db29b1ac8239ce054c24592402a804574c97",10404,0,0,1,10405,"14,20,30,0,10,1,124,19,1,119,25,63,0,2097,1556,3952,1418,878,269,81,92,41,6",23,10816,11.0,4
5390,freshos_stevia,10d8e5897dba2aef3563c8ba2512cab0b34e4dd1,1509994989,"Updates LoginExample project
",3782da8028e7841d5e070d6a5bee19042b9c9097,0,161,1,0,162,"9,37,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0",5,63,-12.0,4
6878,tencent_tencentkona-11,3d9467a9486cab0f73713adb21b7feaade00997e,1196814525,"Added tag jdk7-b24 for changeset 06bc494ca11e
",77c86a964655e3586a404d3e0803bd8cd6dbbc01,9,0,0,0,9,"7,46,60,193,1085,4364,5574,6067,3122,1486,2209,2164,1292,357,39,0",15,28065,12.0,4
78432,zhukov_webogram,0993489bafdcfb42e568bc69d459bc5a3597c720,1388938031,"Initial import
",14af21010f86d6dcfdf2a52befcf960271950e3e,3062,0,0,0,3062,"3,12,77,134,1340,156,336,376,165,168,81,16,87,15,96,2",16,3064,15.0,4
78441,zhukov_webogram,a0dc7a71952e3b54b46c23faf66beeadeaed33ae,1390587144,"Merge branch 'pr/5'
","ecbb4b30604f08deaa4d87d01db961a7b75da431,ea7dd76f38b12802c6f65eb5a95cd1cf2051f792",2,1733,0,0,1735,"5,6,29,106,1203,0,0,0,0,0,0,0,0,0,0,0",5,1349,-11.0,4
131772,droiter_openwrt-on-android,0c0e2192ac08f8daa76d08f17d0a114210ee3eff,1452354999,The beginning,3117487d129a9f2cac8d59ea8fd14b5e4df4f8b0,12615,0,0,0,12615,"1,3,18,77,137,2473,3421,1378,801,1160,1654,814,550,88,14,10,9,4,4",19,12616,18.0,4
135759,18f_analytics-reporter,cdbadee274d3aa2b2b9363fff151adbc5cf98133,1420211956,"Merge pull request #7 from 18F/downloading

WIP: Framework for downloading, processing, and saving GA reports","594a5cb30b6a730d7973529d66280070a89e8115,7e146b2ab1f5d19c2772538d8b2b8c808c17d58d",3,1593,0,0,1596,"12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1,12,-20.0,4
144700,neo4j_neo4j,850566fd3846ef8588edd192b1eeda4b565a7699,1352711754,"Merge branch 'master' of file:////Users/lassewesth/processed-repos/community
","9c4f3c010b03070098c2102d46d347bac809f4e5,6ea0111c24e31b4e425c52325ccbde4dab3e3e96",3933,0,0,0,3933,"1,7,106,4,23,149,95,127,345,861,1630,505,66,2,0,13,0,0",16,3934,15.0,4
152290,easychen_lazyphp4,3ed86d3a7e5b173b235f30d2262a8a355c06ef21,1398308162,"init version
",e94b425293b337af8af85d61d5401499fea3c300,1492,0,0,0,1492,"13,11,21,49,37,45,238,424,468,123,36,11,10,4,4",15,1494,14.0,4
155355,markmarkoh_datamaps,cf763cbd950a9dd1f4eff4ffbde38efdecb87dfa,1373740166,"removing node_modules
",06a6f0b97d60cce4660071ee32b37b8d1c9a1b88,0,3092,0,0,3092,"6,3,18,16,29,27,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0",7,575,-14.0,4
166806,activescott_lessmsi,046e7b690b8c8b4fb4e9afa38d403b21530d73cc,1464589539,"Merge branch 'lessio_refactor'
","317fdaa7883afd6dd8236c39ce04b7bb7c07c878,d18d3620ce29adf9d2d17e987a446df86d66a960",6,5,0,0,11,"5,15,57,25,18,2,0,0,0,0,0,0,0,0,0,0,1",17,123,11.0,4
20087,allegro_envoy-control,12ac141ae5e59a17ecd11de1b114215d6116f304,1568749872,"Import project
",c0a584ea86862aa14962b57879dbec69a63b02ed,144,0,0,0,144,"9,14,16,2,4,6,0,0,0,15,58,21,0,0,0",12,145,11.0,5
33985,yangzhongke_netbookmaterials,b5e30b7baf2e4dac4b035e40006a8c210cad6023,1635507485,"init
",dc6e0f1de94ee5249fc57edb8104ed93cb10c20f,1080,0,0,0,1080,"3,4,67,370,332,179,50,38,0,25,0,2,3,8,0",14,1081,13.0,5
38225,tornaco_thanox,debb0ab685dfebc1bde5df49b539cec0bb8041fa,1626531952,"Including part of thanox src, plugins/3rd/bases
",b7ad8286d14009605ce5dd800079bb3f593f1fb4,977,0,0,0,977,"4,14,18,112,10,55,15,272,12,74,153,128,73,29,19,7,9,15,18",19,1037,13.0,5
39568,nkuppan_expensemanager,9583784f805a4f40de8a57ed8201cd895944c5c9,1663136656,"Initial commit
",e2b8bd41788fd4ef9589a8b1043222102f232b6f,351,0,0,0,351,"7,28,3,15,0,129,0,1,6,65,92,6,0,0,0",12,352,11.0,5
46147,openvoips_ov500,1ee905b5d90135af9b834c91aaca94ef13b8d851,1566411883,"Billing Solution

Billing Solution
",07f34b4f90b43ba3637245dcf87019116935a29b,2466,0,0,0,2466,"2,10,26,180,364,713,589,337,199,44,3,1",12,2468,11.0,5
48540,covenantsql_cookiescanner,755519e4a6de06886d2f494a42a2308af205dcca,1556178703,"Support covenantsql classification data storage
",4f56c641cea5d7fa674d7583b35f43fd7e5aafe3,2341,0,0,2,2343,"8,8,3,41,509,1197,364,261,111,18,68,63,136,34,0,0,0,5,32",19,2858,13.0,5
57466,tritondatacenter_triton-kubernetes,ca1760ef36a9ca14355223c3ea37d41cafc376fa,1591799456,"Update to use reasonably recent dependencies (PR #160 from joyent/kusor)

- Migrate from deps to Go 1.11+ modules
- Update triton-go to v1.8.4
- Update providers to terraform 0.12
- Bump Terraform Triton provider to 0.7.0
- Update Docker from 17.03 to 19.03
- Upgrade to rancher v2.4.4
- Allow overriding docker_engine_install_url from config file
- Update to build using git tags","182b1a27e297b37667110c7bc2aa991c146b8590,bca8d546540117fd40c93cee531118031112f660",26,11216,0,0,11242,"8,61,21,108,39,0,0,0,0,0,0,0,0,0,0,0,0",5,237,-12.0,5
65390,shipshapecode_tether,c7da4d5234fe8b8cc748c89305a0c85f0267b3dc,1389398308,"Move files around, switch to gulp
",a8648ad2d1421274a4aa2ab2c68904d394b7ac9a,828,2,11,0,841,"9,20,25,17,30,72,161,109,130,35,62,5,72,0,64,0,36,0,16,0,24",21,887,17.0,5
65391,shipshapecode_tether,886fb6094b3ee6663ce780a6f0cd3eebcc267e82,1389660103,"Kill header sha, as it points to the prev commit.  Move to the
now-published glup-header.
",3f3a0f0a5f723efab2f5fa54564e9ffeaee6bcc3,0,824,0,0,824,"9,20,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",4,63,-17.0,5
74648,ot-container-kit_redis-operator,1bd371af6cf8e051e95dbe75091a5aa6c80a80f8,1559973503,"Added code for redis operator
",8bf94b500510fe0f52badbdbcdd9f19ac0ec070a,9042,0,0,0,9042,"5,8,13,167,858,2458,1664,1301,1666,452,298,128,18,3,2,3",16,9044,15.0,5
76393,root-two_react-native-drawer,8946a9f122a3a6eed12cac968483fd87e45ab03b,1428985940,"add demo, and some improvements
",f4c1149f40e66855893540ad532389d29bb5c644,2942,1,0,0,2943,"5,0,2,11,9,24,400,353,584,569,414,221,186,91,58,16,3",17,2946,16.0,5
76402,root-two_react-native-drawer,d02c2459d642b8ae9d09ed2d235162b114d875c1,1430701477,"Merge pull request #10 from rt2zz/newDemo

New Demo","1c51f95a9e8aa534e4ca1828a4c8ceaff27e0534,42153912685247f9277b7f9e220e0d1ca3361dc1",6,2994,13,0,3013,"6,1,8,8,1,2,0,0,0,0,0,0,0,0,0,0,0",6,26,-11.0,5
76404,root-two_react-native-drawer,4b4c27643a6ddc8bc04c178eda2dda1bf6d8b62d,1432332331,"update and checkin react-native to demo proj
",020a26fcafa3fa59164771066c4eba584fdf197c,3539,0,0,0,3539,"6,1,9,8,7,23,482,427,651,637,532,281,240,137,100,22,3",17,3566,11.0,5
76407,root-two_react-native-drawer,514d2584204bbd26386bc23048730ab16d559896,1446453152,"cleanup demo
",fd338a72f91e2473cf38fe310e29b2cf61f9c6db,0,3280,0,0,3280,"6,1,10,8,1,2,0,0,0,0,0,0,0,0,0,0,0",6,28,-11.0,5
84622,containers_image,b33e09491c76978da97e44a924acb70d86e6b123,1453307053,"add Godeps

Signed-off-by: Antonio Murdaca <runcom@redhat.com>
",9436d7daf260df8b85cd8864d2d45ab1884dce9e,2307,0,0,0,2307,"9,2,1,0,0,0,93,130,338,99,46,53,4,3",14,778,13.0,5
110876,micromata_dave,1888acb869d52a8ce7103b9370c4507d12af00d0,1677743839,"Remove the vendor directory

The vendor directory ensures reproducible builds even if e.g. GitHub is
down or unreachable. However it is also dozens of MiBs that need to be
regularly updated. It is also no longer automatically used by `go`
unless in `-mod=vendor` mode.

My take on this is that anyone concerned about modules disappearing from
the ecosystem can run `go mod vendor` locally, and/or set up a module
proxy. As for reproducibility, go.sum has enough information to ensure
that builds are identical for a given Go version.
",d2b01bf5babda771bf0415aaa62d9800bd590852,0,3017,0,0,3017,"12,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0",4,25,-13.0,5
131331,apache_incubator-weex,d36d287576b05145198d7a773509577b0c73936d,1460474478,"+ [all] init
",a277cf7f12a1f452966d480198f71cc9aca2fede,2104,0,0,0,2104,"6,42,153,49,78,75,18,107,8,115,159,155,62,27",14,1054,13.0,5
134697,28harishkumar_blog,3b587a318db030ca7629108670e0b411593c25e8,1432722627,"Initial Commit
",ac1733cd86f62d9535d72ca145c024b9d3503eaf,4546,0,0,0,4546,"15,27,46,277,247,670,1021,1279,733,152,77,3,1",13,4548,12.0,5
135177,ddev_ddev,1f92dfdcba1f17cd8d9887801bfa22586f277d51,1474650640,"Dependency drift (#135)

* Modifications that account for google moving things.

* Adding the glide.lock file and vendor folder.

* Removing glide from the build steps.

* git ignoring the drud binary
",73380cee3f629883246f788281dabad2372fb217,12353,0,0,0,12353,"10,57,4,80,1037,3005,2957,1309,1217,1244,828,443,125,20,36,51",16,12423,13.0,5
46627,kalcaddle_kodbox,92f64165ff13f1f599d9d82682a277f810582b79,1617795844,"1.19 release.
",345c6aac0fdbdf26035fc1d2d3a9a619360672ff,3174,0,0,0,3174,"3,5,44,220,1006,454,861,116,10,4,5,155,237,56",14,3176,13.0,6
73705,naver_spring-jdbc-plus,68185e83b9bcdc8141f899f2642115f7d5ee75ae,1588554038,"Squash All for open source
",b6e987efe4cb53c1b064e2838731927601a63618,177,0,0,0,177,"9,10,6,0,0,12,5,0,0,0,1,8,64,15,44,6",16,180,15.0,6
74949,s8sg_faas-flow,5f1cecdbd50ec2281e784a39a97aa23ad9e30956,1579154329,"Add faas-flow minio and consul as default data and statestore

Signed-off-by: s8sg <swarvanusg@gmail.com>
",748c7b30237dc55350a945f8c03b7f805dc6f46d,9853,0,0,0,9853,"7,15,29,7,9,0,161,114,77,19,154,1245,1156,582,1564,1970,798,380,628,442,460,316,103,17,30,21",26,10304,13.0,6
74952,s8sg_faas-flow,3ad4deb2a5df6f37cdec58508ac7d3b3c4412f92,1590319760,"Merge pull request #135 from s8sg/feature/85_goModules

#85 Add go mod file for template and remove vendor","39391e1c41a2b806a6704eaed86f008316392de7,29aec5b1681cd51288ce1b235089f301339dd3d1",2,10221,0,0,10223,"8,14,33,7,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",7,87,-19.0,6
89989,jsonresume_resume-schema,3bda01143c8e1303022d2dfe05c23db40bcf33f5,1403271893,"fixing
",3e180384ef824c311b481c3a0bed9b38bfd6826a,346,0,0,0,346,"5,0,3,2,12,5,136,38,59,21,45,13,8",13,347,12.0,6
89990,jsonresume_resume-schema,3e0c8620212376f7b2b49e0ecb8b0d08214749a5,1403271925,"removed node modules
",3bda01143c8e1303022d2dfe05c23db40bcf33f5,0,342,0,0,342,"5,0,0,0,0,0,0,0,0,0,0,0,0",1,5,-12.0,6
157875,alibaba_gaiax,a50f0e73a72b48c21de86f6a4ba5913b52c009f3,1647243288,"init
",a67bc067b222fbf377065cde928f4ab6ae6491c5,1879,0,0,0,1879,"6,26,41,542,530,90,456,53,53,64,15,4,0",12,1880,11.0,6
13309,austrianredcross_stopp-corona-android,ddb17437574669dc3d1af407acd6b777deda0e4c,1587894280,"Merge pull request #17 from austrianredcross/release_1.1.4

Merge release into master","11bb7c51ece9e4f8d4551eebd0356c4d085d4df5,4e8816702ba1163f262b99abe55b470c8dd697d0",435,0,0,0,435,"10,12,5,3,8,181,0,3,21,76,81,23,13,2",14,438,11.0,7
36362,aliyuncontainerservice_docker-machine-driver-aliyunecs,3b8ab86f9375684aba64cc750037a28a5e52e77a,1515928635,"Update default image to latest Ubuntu 16.04 and instance type to ecs.n4.small
",bcabbe489a7a658e00f1c93bf076032de1048b8c,3551,0,0,0,3551,"11,5,0,0,54,995,610,293,458,479,447,78,94,25,16",15,3565,13.0,7
43412,ipasimulator_ipasim,3c78f8bcf5bb07907b4a188797118f8d5f365977,1524513392,"[deps] Old ""headers"" removed.
",394300744ac5557c4b6cb36b4ad3295bd273d429,0,11673,0,0,11673,"6,16,237,352,240,110,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0",7,980,-14.0,7
60125,ivy-apps_ivy-wallet,ad0622d28f4b3d90ecdaf97153eba33462dcfda4,1636033229,"Open source Ivy Wallet
",689144684e0fab39fd5f81e3a8cb648c8fd43ad5,818,0,0,0,818,"9,9,3,20,0,432,0,4,55,132,141,16,0,0,0",12,821,11.0,7
71841,gdgand_composefest2021,ce7f1aed591d2eb757f2c995653a700a7cfb893d,1634134782,week 1 codelab,7254419d73bf6a14f0dd760a50c55427d8f20d7a,36,0,0,0,36,"1,0,1,8,1,2,1,0,18,0,1,4,0,0,0",12,37,11.0,7
71849,gdgand_composefest2021,e1bb7e4f5c9a7c0fe398ef55ff395f0406031fa0,1634374157,"솔루션 코드 다시 제거
",beeb300f05caa4e7fe6f0dcb386fd00b8abe47d1,9,468,0,0,477,"2,5,16,0,0,0,0,0,0,0,0,0,0,0,0",3,23,-12.0,7
71850,gdgand_composefest2021,bb56390f12235ed10c450e1da1b5b03c51d8ae0f,1634378924,"코드랩 진행
",e1bb7e4f5c9a7c0fe398ef55ff395f0406031fa0,450,0,0,0,450,"2,5,22,66,45,13,8,25,164,3,0,37,14,67,2",15,473,12.0,7
86601,bitpoke_wordpress-operator,9fb066a7201d1ebb648ac2c8679d365c0ee78935,1525776577,"Operator scaffold
",691a23a767dc08761c78cfc562eeefa471275075,8554,0,0,0,8554,"9,2,9,100,1084,2720,2059,886,899,457,269,63,0,0",12,8557,11.0,7
86688,bradley_blotter,50c6f27ed95050fdbadec860db944e0351628150,1490332205,"more common glsl utils
",3105c201d678db709c659456a8a036557cc71262,12,211,0,0,223,"5,9,35,35,1,0,0,0,0,0,0,0,0,0,0,0",5,85,-11.0,7
99116,panpf_sketch,bc7a3ccff793d65780433411aaecc85cd4cfff52,1410184014,"transition android studio project
",be9e1af9f79682c55f058631b1c7e6f5f9ddd70e,156,0,0,0,156,"8,12,2,2,8,43,0,0,1,57,23,0,0,0,0",11,156,11.0,7
137877,huaweicloud_sermant,d3148ac2e5d9498ac4786f21fd5f3523c244f358,1632292749,"框架代码初次合入
",e93409da2ad21b62254607f0c8521f21643b9cb7,475,0,0,0,475,"3,11,1,1,5,5,4,4,31,218,95,27,27,31,8,6,0,0",16,477,15.0,7
