,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket,proj_max_file_depth,lang
- 코드 정리

* feat: 팀별 / 직군별 탭 클릭 시 리스트가 보여지게 구현

- 팀 정렬 / AttendanceType별 정렬도 추가적으로 구현합니다.

* fix: ManagementState를 Stable하게 수정

* [ Feature ] : 출석인정 아이콘 추가

- 패턴이 들어간 svg파일은 IDE에서 표현이 불가능 하기 때문에 png파일로 아이콘 이미지를 추가합니다.

* [ Feature ] : 세션 별 멤버 출석현황 화면 구현

- 새롭게 바뀐 디자인대로 화면을 구현합니다.
- 화면에 존재하는 컴포넌트들을 파일들로 분리합니다.
- 멤버 제거 기능을 추가합니다. (임시)
    - 멤버를 꾹 누르면 다이얼로그가 띄워지고 확인을 누르면 해당 유저를 삭제합니다.

* [Feature]: Management의 전체적 구조 변경 & 애니메이션 개선

- Management를 Map<[헤더] - [멤버리스트]> 의 구조의 State에서 Flat한 형태로 변경합니다.
   - 헤더와 Content는 모두 공통의 FoldableItem으로 interface로 묶습니다.
   - 기존은 for문으로 멤버 컴포저블을 생성하는 방식을 Flat하게 변경하고 Type에 따라 LazyColumn에서 표현하게끔 수정합니다.

- 위의 flat한 구조 변경으로 각 아이템을을  Plcaement 애니메이션을 적용합니다 (for문으로 한번에 컴포저블 생성하면 Placement애니메이션 적용불가)
- LazyColumn의 아이템의 enter 애니메이션을 추가합니다.
- 탭의 Index가 바뀌지 않은이상 멤버의 출결현황이 바뀌어도 Header가 초기화(닫히지)지 않도록 수정합니다.

* [ Feature ]: Header 하단에 Divider추가

* [ Fix ]: InnerPadding으로 인해 잘못입력된 AppBar Padding 수정

* [ Fix ]: 불필요한 코드 제거 및 코드 개선

* [ Fix ]: FoldableItemState를 UI관점이 아닌 State의 관점으로서 메서드 수정",42b24c0ae97b7694f6b04d30ddd8dd905de65eb9,25,0,0,0,25,"9,23,5,5,0,60,0,10,85,17,27,16,12,4",14,273,2.0,11,13,Kotlin
15652,hyperledger_fabric-sdk-node,0a273c9bd2c8292f14bbf901d1d6fe9c092ff9fe,1567719978,"Vendor package dependencies for go chaincode

- add dep Gopkg.toml for each go chaincode
- use `dep ensure` to vendor chaincode dependencies
- increase timeout for the fabric-client tests
- update the golang cds fixtures
- filter files related to vendoring from package assertions
- filter directories from _findFileNames

FABN-1357

Signed-off-by: Matthew Sykes <sykesmat@us.ibm.com>
Change-Id: Ifeef2ba8b28b42fc8094ececbd5702f5beba529c
Signed-off-by: Matthew Sykes <sykesmat@us.ibm.com>
",e6cfcfe05314fb16f81de40da2b9e200882e57c3,4744,0,0,0,4744,"20,47,174,143,105,31,10,20,66,116,1042,798,2205,469,40",15,5286,1.0,11,14,JavaScript
15832,open-webrtc-toolkit_owt-server,4b223280161de0081769fa719797c7182bb73070,1411544544,"build libwebrtc.a for VCM based mixer
",df41ca2bcdccd2e2392260ad3657faef56736c69,3063,0,0,0,3063,"2,37,59,139,390,222,117,342,625,370,892,301,24,54",14,3574,6.0,11,13,JavaScript
19165,mediaportal_mediaportal-1,0dd7994af0c6e5611067f435235c7278b9aa6f86,1225916455,"Restructuring of directories
",f88924bd1e2b3ac1b719cec67583937c11d85a78,230,701,1242,0,2173,"0,56,2302,7050,3302,3234,740,245,13,298,1,109",12,17350,1.0,11,11,C#
20855,llsourcell_doctor-dignity,98bb750ce6be8bf9bee66feaea0e814f7e867b9e,1685629817,"[ANDROID] New UI and multi model support (#287)

* android by jetpack compose (#280)

* Android build multilib update

* refactor UI (#283)

* rpj (#286)

---------

Co-authored-by: Yaxing Cai <caiyaxing666@gmail.com>
Co-authored-by: Bohan Hou <spectrometerh@gmail.com>",32424721d9aa443a594187af998154482fce594f,26,66,0,0,92,"10,45,82,21,8,2,3,7,0,6,0,3",12,187,2.0,11,11,Python
21018,openmediavault_openmediavault,a56342c9c4ced6f6f4f3caad72ead60a9978233c,1369513077,"Sync trunk (0.5) with local repository.
",2b6e92f9eee0efb5e2b37b1c2183a0ed0a9368e3,213,51,20,6,290,"0,1,6,175,34,18,238,282,21,39,12,62,20",13,908,3.0,11,12,PHP
22042,teaweb_build,2ffff043ac479ebf43699a9dae26192112ae8a34,1559120542,"上传go-acme/lego
",fa6653585910959fed38d030c0213bf851e0cda7,2581,0,0,0,2581,"3,7,29,30,276,1487,1543,1369,831,1138,415,58,26,5",14,7217,3.0,11,13,Go
22491,gnoemes_shimori,e4ea0d1cf85da6ee6c07ba10717137aeed61be2e,1661117951,"Merge pull request #1 from gnoemes/kotlin-multiplatform

Kotlin multiplatform","7a8373881e2abc29be51a2030ddfd329d9928d80,b18a32227af527722d3c051c44ebd1040a50ce57",232,163,121,8,524,"8,23,18,9,6,67,9,16,39,98,88,56,33,9",14,479,3.0,11,13,Kotlin
22515,htbox_allready,447e49456c77f69e282314ab585be102c0958c71,1438867274,"Merge pull request #18 from MattGal/RenameToAllReady

Rename to AllReady","c102244bdd6e5ed282d7ace3e7a2d703b573dddd,92e0c0627bce0523a0ce9bb9d9788df9b063f77e",770,0,689,0,1459,"4,4,17,24,101,161,232,194,213,241,7,23,48,111,51,36",16,1467,4.0,11,15,C#
22938,vikramezhil_droidspeech2.0,d8f2889e11647e6e3ad2cb5401353a571641ae30,1586534519,"Added progress view for speech recognition
",d216036a3a9ec31696a105a694767c1beeea8a16,64,0,0,0,64,"3,6,12,5,2,0,23,0,0,5,4,5,1,1",14,67,13.0,11,13,Kotlin
23069,autozimu_languageclient-neovim,9f5d800568bd38db805c92700cce79e20dde83bc,1560988075,"Add example scala and css project.
",5cd9d45e006475838c266df11cc0f4111489504c,11,0,0,0,11,"13,30,6,36,23,0,1,2,0,2",10,113,2.0,11,9,Rust
23985,habitat-sh_habitat,2e1943c6ae24c6fdcba5dd9c55b0778ba8d8baa3,1538590505,"Merge pull request #5689 from habitat-sh/jb/formalize-http-api

Formalize the Supervisor's HTTP API","fe5a980451dbde7e82647eaa40f8cbaa611ecc6f,77ab82d03cf573db8fc5ea113817e103f35bbdf5",27,0,0,0,27,"29,32,152,381,486,191,115,13,0,0,0,17,1,1",14,1418,6.0,11,13,Rust
24323,jepiqueau_capacitor-data-storage-sqlite,a75f7cc46edbabd17936377d7d68b508bd90b909,1561273881,"Update to capacitor 1.1.0
",f18c6802e2cbfd9b080dd39d347502af6d5ba98a,310,6,10,0,326,"7,16,65,183,122,161,122,34,112,44,38,22,74,66,19",15,1085,3.0,11,14,Swift
24329,jepiqueau_capacitor-data-storage-sqlite,a14df0910c872121b7cfe3740d260dff01ae8a5b,1584369784,"step back and fix openstore in Android
",7652c90adaa7b11d612aefb951d20f583c50d963,1108,0,0,0,1108,"8,16,131,197,163,59,185,33,53,45,36,20,78,66,19",15,1109,14.0,11,14,Swift
24679,orangehrm_orangehrm,8d7025ec6ceea5c6d8432cb255889bd4d85ca673,1268304835,"Copied Symfony folder from 2.5-branch at revision 4437
",00a278365ff23b804fc651ea2173d89be19e7b03,3672,0,0,0,3672,"0,138,23,59,275,829,402,163,517,595,269,395,127,329,510,487,24,81,32",19,5255,8.0,11,18,PHP
24703,orangehrm_orangehrm,b0170c002073041a54a7c941ef343d2f58b33cc9,1292563825,"Symfony 1.4.8
",4ce1b80d83d62dc6a9313edd38729b2a8c34a370,2924,0,0,0,2924,"0,138,23,59,276,834,416,200,462,645,165,270,251,258,584,366,25,79,29",19,5080,8.0,11,18,PHP
26016,stepfunc_rodbus,1ed9aff9b0863b4bca9a7515be92deb54fc7bb0c,1600459810,"Merge pull request #39 from stepfunc/feature/ci-script

Feature/ci script","13280e780bfbe095c3eb5e3e2e1d50b336eb2440,e50d46f9c53b5d26dd48669a0e6ee86d3c0bc75d",10,1,9,0,20,"4,4,18,43,11,2,0,0,0,0,0,1",12,83,7.0,11,11,Rust
26124,reduxframework_redux-framework,3d2d8dcc6181638530bd4e3e466aa7032e009b70,1386218633,"Updates
",f2cf67f592ad6f4448e68db14db8fcf6e9cf50f9,2701,2,0,0,2703,"13,10,155,91,454,380,601,477,386,192,134,63,59,17,11",15,3043,8.0,11,14,PHP
28674,xiyuzhai-husky-lang_husky,95ca9959b3789e7ea1a44b5bd51176ffe6949d4f,1706646811,"add examples/basics
",a375d7d64a3e484a20d0400ba791dad0f3b6e1b6,136,29,193,0,358,"18,29,81,267,873,594,245,1351,834,35,34,34",12,4395,3.0,11,11,Rust
28828,robinradic_blade-extensions,0524e85cfd01a3ab8d9c12d4e6ee063fa30864ad,1417062588,"some new tests
",468a511f95de8c8fe6968c9c5df3874b87ce3c5f,4855,1,3,0,4859,"9,14,21,31,195,236,464,1367,1332,891,217,99,11,12,4,4",16,4907,11.0,11,15,PHP
28913,materialcleaner_materialcleaner,61a57243f6916d88b839d3f1af860a0a7b2801a9,1703130475,"partial open-source
",0215e0f13bcc19c7382417aea39dbdcb5deabc4e,2272,0,0,0,2272,"9,18,6,6,9,287,83,62,586,523,62,23,51,526,26",15,2277,12.0,11,14,Kotlin
29119,sap_sapmachine,a438323e09792ff0d7aed135c520070336b76251,1332808337,"Merge
","0dc14f226850b90efbd4beacb3c16135ed82ce03,333788c3f3c6af38f4756c0f13587201a2622e2f",7,0,0,0,7,"10,58,61,217,1627,5560,7164,7472,3593,1669,2442,2593,1655,485,87,8",16,34701,1.0,11,15,Java
29554,sap_sapmachine,45993072679164fdfb14f33e4512b06be13019c9,1403111344,"Merge
","a357cd37a130e4dd352ff8fbcd69c85f2b6c488c,1ca28265f205f19880b001ca83084bbf8364b410",14,1,0,0,15,"11,57,210,266,3490,7213,8985,8034,4395,2849,3113,2571,1204,297,83,8",16,42786,1.0,11,15,Java
29557,sap_sapmachine,e5632e7512711ef711e30a5e52dae39089418edf,1404250102,"Merge
","dca2dad49d7048a3620b4e3fc60edcbe40a96fda,e0005b7aedb7213e0b9474b0032b114449ab1ee9",56,0,1,0,57,"11,57,210,277,3497,7231,9011,8038,4404,2855,3114,2571,1204,297,83,8",16,42868,1.0,11,15,Java
29581,sap_sapmachine,892f170f872cf48053a748b832516b647afc4b27,1408355984,"Merge
","1a25f2d3f358841cfcc82d07fd6b9aaff4af3231,96444f931f9d31cb4e82a6de08ac7726e4dfb9a9",69,4,0,3,76,"12,59,208,338,3373,7194,7373,5397,5400,4648,1545,2522,3316,1626,393,38",16,43442,1.0,11,15,Java
29974,sap_sapmachine,e69b1f833100fcc59f07cc06953dfdb6812d4233,1499270729,"Merge
","7e9ed9123c43647ecda6a6dfd62b65a8d4f51392,ff5fbdcbe9f38c61405989fae41e39e1dd526de1",706,0,1,0,707,"10,58,61,216,1623,5557,7160,7470,3593,1668,2442,2593,1655,485,87,8",16,34686,1.0,11,15,Java
30014,sap_sapmachine,06b4495744d22edf31d37fc7029c498c3122ac95,1499277384,"Merge
","8769bf51a8c4034354c9094ae881e262f71ae82c,e018ab475062046cfb7621b02eef908f746ff6f3",18570,18523,1413,0,38506,"12,59,208,338,3370,7195,7342,5369,5400,4648,1541,2522,3316,1626,393,38",16,43377,1.0,11,15,Java
30562,spark-inc_spcrjointdynamics,796585dadb5205fdfa8287ea1fffbeba2924edf8,1642982543,"release ""version 2""
",f9c3aa1321ef9e32e780a19c174597ff31ca5c0b,70,13,240,1,324,"3,12,19,13,42,37,6,118,39,3,21,3,16",13,332,3.0,11,12,C#
30641,intelsdi-x_snap,a5cfe35f65dcb5028707f58f2029c8f5fbd9e04d,1431370527,"Merge pull request #125 from jcooklin/influxdb

Adds influxdb publisher (0.9)","c211d2a54c5130eaaa18fd22e030935b00010c41,71cfc78f6f1d98f6c133ed4391cf6376042ce9db",196,0,0,0,196,"6,42,31,37,28,4,31,15,0,160,84,103,19,10,2",15,572,3.0,11,14,Go
31350,dashpay_dash-wallet,bf746cf08cc2ac618bcc4b4975224524b4f9aefc,1689642689,"Merge pull request #1160 from dashpay/feature-dashdirect

chore: merge feature-dashdirect to master","4c4d2f976c578eb71cb388ec74b692f61169ebbb,da18b9436f45c90a3fc48d785503f8276a8744de",72,54,36,3,165,"11,126,43,439,29,397,433,102,19,55,55,115,45,22,12",15,1903,1.0,11,14,Kotlin
31370,google_cargo-raze,941a3ca22265d72a0a38f95b7ea2abaf5cd0cf26,1522171916,"Update examples for f453818
",f4538188740283b3695cd91b1ce47f14e0bc3f36,8501,0,0,0,8501,"9,14,7,26,37,84,675,6509,973,102,30,36,54,4",14,8560,9.0,11,13,Rust
31450,stoneatom_stonedb,ce34f0ea492c7227a9ffb26fa7e36bfa91f6bf10,1657125153,"Merge pull request #162 from hustjieke/stonedb-5.7

Stonedb 5.7","c4edb29a3a002f47e0e60d4865f558611df54375,e405191378b130fc0cc3718ebe075053aebfda78",16053,1136,229,119,17537,"10,1172,4299,1644,10768,1901,2151,1699,1301,1559,1305,244,46,20",14,28119,7.0,11,13,C_C++
32040,combodo_itop,57f0cce318b2a13f983ccba6fe8e9c532076f312,1452526334,"Added Silex framework

SVN:trunk[3855]
",e95d0a4722133fa52b0fa6d6bff61c47c4cb220b,1308,0,0,0,1308,"7,448,140,684,322,310,143,206,254,348,374,235,29",13,3500,1.0,11,12,PHP
32561,mikubill_sd-webui-controlnet,b2a2d1a075dbfe78b5f64758bf0014a35ba558c8,1681575072,"Merge pull request #742 from Mikubill/cnet-1.1

Add support for ControlNet 1.1","d575ccf5d63358d637224ead6ae62e944585cf4e,3b7e49197478e21c589a0c614d2268a7e578aa4e",367,0,0,0,367,"8,54,42,28,299,278,47,30,22,6",10,814,3.0,11,9,Python
32715,theopenconversationkit_tock,07becec34707f0c64835d2d9f70e1ba2017e9ea0,1498557735,"resolves #48 xray test plugin integration

Signed-off-by: Julien Buret <jburet@voyages-sncf.com>
",27906ca7c4d2b885a83a4bf167b16f8726d965ca,15,0,1,0,16,"5,13,21,44,41,19,78,65,16,29,51,120,75,139,21,9",16,746,1.0,11,15,Kotlin
33347,restyaplatform_board,43be05876d02ad04526897210c221d1ed2e26bbd,1467293308,"Merge pull request #699 from RestyaPlatform/dev

v0.3 version files","7c29bc442033cad8961733933c9f5c8f764765b9,cce916f5bc2f0ae64cb16a57f113fae9ee12f463",217,0,0,1,218,"11,25,137,1404,2,30,122,56,25,4,12,2",12,1830,4.0,11,11,JavaScript
33421,asterecho_excelgpt,f08c2ec51a095e3439234a395988b6fbf0b12207,1692264525,"+
",fc9ee3e295737037c9952aa300962f7902a068bd,200,1,1,1,203,"8,21,70,8,37,0,3,45,82,34,2",11,310,6.0,11,10,C#
33442,sl1673495_blogs,66db273289f38730ed92e79eb56439b7562c0e49,1610557015,"Refresh README and pages
",dc3a859e3568b055dd3473a75ba818c8ec07cb5a,1517,4,0,0,1521,"20,46,166,267,2,426,315,328,300,62,7",11,1939,6.0,11,10,JavaScript
33446,sl1673495_blogs,44a46a1020708ed30a59bf8585e82b8a8714c4cb,1612808662,"Refresh README and pages
",0e64d71748c1a54da5c584cbf655938bf3e33d07,1453,0,0,0,1453,"20,46,169,273,2,426,315,328,300,62,7",11,1948,6.0,11,10,JavaScript
33448,sl1673495_blogs,8f7e5a3eedeffa4eab5fa0d6d9979f3993067d66,1612813683,"Refresh README and pages
",bf72b25fbb645f58f74dbef29505e8d1a3aebbcd,1453,0,0,0,1453,"20,46,169,273,2,426,315,328,300,62,7",11,1948,6.0,11,10,JavaScript
33451,sl1673495_blogs,74a489e55f6be62ad1251e91132924b029ca0bb6,1614523423,"Refresh README and pages
",0e727eb197d3b4941c0521778e7b38261c44b705,1456,0,0,0,1456,"20,46,171,277,2,426,315,328,300,62,7",11,1954,6.0,11,10,JavaScript
33740,kunstmaan_kunstmaanbundlescms,dd2d08d5551041ae382ca9668a24fc7054d36528,1511014154,"[GeneratorBundle] Use livingcss to build styleguide (remove hologram & gems) (#1612)

* use livingcss to build styleguide instead of hologram

* remove ruby dep
",e3f7d4dc31f122b47ef7a58ea76606fff4f4367b,76,20,0,0,96,"21,74,29,203,567,520,328,229,458,430,577,484,121,75,4",15,4120,1.0,11,14,PHP
33972,linkedin_dustjs,65aa88118d752b4bf41f3747005c454d835bcbd7,1332301966,"Add aliases documentation to the readme
",9a7bc5da824695b84ee54047af147a230a800479,187,0,0,0,187,"6,31,10,19,40,35,20,12,8,8,10,40,1",13,240,7.0,11,12,JavaScript
34066,orhnk_rascii,a89088df54da1377e237f017cb6a4a79c953dfed,1669496050,"main repository
",a54bd29b39821416db649b4e7befc95d2b33249a,17997,0,0,0,17997,"5,5,78,6664,3671,3159,2878,549,211,403,375",11,17998,10.0,11,10,Rust
34154,tektoncd_triggers,68f57133472285df9990804bee124ae3da2ac4df,1580407972,"Bump tektoncd-pipeline to 0.10.1

This will bump the tektoncd-pipeline dep to 0.10.1

Now use pipelineresources from resourceclientset
",3ba3efbd2ad72b9fc63c13b30efbdcda9c7a541d,156,6,5,1,168,"13,57,71,171,655,1241,758,536,421,64,89,72,17,3",14,4168,1.0,11,13,Go
34397,copper-leaf_ballast,be7caab57cdf8b0f11b1237957fa94d5e0a574ce,1683406715,"debugger log view, improved editor

",5d10dd7084da7009ccfb9e87adc469d826bf38cf,1,0,0,1,2,"10,21,18,46,19,18,89,33,83,72,86,101,29,12",14,637,1.0,11,13,Kotlin
34399,copper-leaf_ballast,f82849be4ad49434fca21e2e5421f6ac2c580dd2,1683406715,"move more stuff around

",46239df1721de2b284a84ea62956ccaa79f6213c,0,0,35,0,35,"10,21,18,46,19,18,88,33,82,72,84,98,29,11",14,629,1.0,11,13,Kotlin
34403,copper-leaf_ballast,075138e74e74a579c89edf2ca612b6dc01744a66,1683406715,"Prepares for v3 release

",2b4b902895a775efa5879ad03b3a778d2bad88e2,1,1,1,0,3,"12,37,22,46,9,16,95,35,87,73,86,101,29,13",14,661,1.0,11,13,Kotlin
34411,copper-leaf_ballast,5579a85085701f3a616290f4771d882a3cc7e926,1683406715,"splits firebase out of base analytics and crash reporting modules

",7c54ef10b095a8d91dbc90467b5d65adc72a5c0f,11,2,11,1,25,"12,37,23,50,9,18,89,33,85,73,86,101,29,13",14,658,1.0,11,13,Kotlin
34413,copper-leaf_ballast,ac39abf54c9ba54ac97e2eb6f202a3b544acb969,1683406715,"Allow slight customization of analytics data

",2983785612490a98a9cd7c2053b9a3e29a137f06,2,0,0,0,2,"12,37,23,46,9,16,96,33,87,73,86,101,29,13",14,661,1.0,11,13,Kotlin
34416,copper-leaf_ballast,6d5d2af3fa7215901c38bc8a62bcaebd270f2982,1683406715,compiles with Kotlin 1.8,44d9f22d5f06f42bc67d980c20132c60604bfbea,25,17,80,0,122,"12,33,23,48,9,18,89,33,82,73,86,101,29,13",14,649,1.0,11,13,Kotlin
34418,copper-leaf_ballast,7c54ef10b095a8d91dbc90467b5d65adc72a5c0f,1683406715,"Renames firebase artifacts to drop the hard dependency on Firebase

",6d5d2af3fa7215901c38bc8a62bcaebd270f2982,0,0,20,0,20,"12,33,23,48,9,18,89,33,82,73,86,101,29,13",14,649,1.0,11,13,Kotlin
34421,copper-leaf_ballast,88b825f89299cbe17c4e0236ba3599083df02389,1683406715,"custom ""editor"" view

",be7caab57cdf8b0f11b1237957fa94d5e0a574ce,1,0,0,0,1,"10,21,18,46,19,18,89,33,83,72,86,101,29,13",14,638,1.0,11,13,Kotlin
34424,copper-leaf_ballast,5d10dd7084da7009ccfb9e87adc469d826bf38cf,1683406715,"Allow displaying serialized content in the debugger, such as JSON

",7fe536e9f3843265596faea5ddcf4c07202ec5d2,4,0,0,0,4,"10,21,18,46,19,18,89,33,83,72,86,101,29,11",14,636,1.0,11,13,Kotlin
34521,jeffcampbellmakesgames_entitas-redux,1e44f287c39dd7c9297e52815556d45b5c034148,1588580895,"Added original Entitas rework content
","518ea33b6f6fb6bee2ff6303e73fb22f72ea9277,ed4c435a9a2c8587080c696aaf721d787a56669a",1513,0,0,0,1513,"8,18,25,8,21,227,290,190,152,299,340",11,1578,3.0,11,10,C#
35332,quarto-dev_quarto-cli,b48b42261d7f58243fb02aef62bb19cda66db3c1,1663334927,"Merge branch 'main' of github.com:quarto-dev/quarto-cli into main
","2cbffb5619f8f5b1cb8ceedf64d7a3d4db2a0367,603e94485339497e2d0f232a1acfaf3895a8feeb",19,0,0,0,19,"12,20,186,546,461,582,259,670,236,57,92,5,3",13,3129,1.0,11,12,JavaScript
36415,wix_detox,d95d924ae323edfab832f281b7713f6519139d0d,1614889002,"Introduce Detox-Native for Android (#2672)

",284a866bd165a3df78dea0fea4a60b3db30031db,5,4,108,0,117,"8,93,129,323,251,81,85,33,20,34,48,46,10,1",14,1162,1.0,11,13,JavaScript
36815,util-linux_util-linux,1d7a6c78b8261548a4954b41ad94c2b40b018af3,1234973806,"tests: cleanup lscpu reg.tests

Signed-off-by: Karel Zak <kzak@redhat.com>
",bd8ef463476fc46005d4ce6e2348ee32eb93225e,241,252,1001,0,1494,"13,392,17,154,61,0,11,1,2,0,59,132,1024",13,1866,2.0,11,12,C_C++
37946,apache_age,c1a91a2c4764323055fe0f6d9a06c99d01d2bcac,1621295763,"feat: (driver/jdbc) create parser for agtype. (#68)

",e87edb925eed60b9f83bf6f77b8e3ceab6e1438e,30,0,0,0,30,"12,11,40,66,20,0,0,0,0,0,7,5,9",13,170,8.0,11,12,C_C++
38028,imnotdoubi_laravel-admin,7e60ac27389602eb7f9370e496a13d9edf017af7,1565321305,"github 登陆
",c350ed64db2918dd2816bba6a80d32e924538ef6,8543,0,0,0,8543,"11,27,77,771,1065,2331,1937,2129,699,256,5,3,2",13,9313,5.0,11,12,PHP
38052,aledbf_kube-keepalived-vip,6f14481013dd5173df3db538d82ffc01e20208be,1503858812,"Merge pull request #1 from aledbf/re-import

Re import from kubernetes/contrib","3ffbb97ae841236c9959f43bcd3bfa3da4dbb726,57da9b685ab1b84b46fe2a0289de0eb4f9d59942",14143,597,599,0,15339,"23,3,0,69,652,2923,3849,2420,1254,790,1343,1053,287,35,32,21",16,14754,3.0,11,15,Go
38077,messagebird_sachet,2cdd519365f6a13b48dbfb339eba36e9958e2e05,1479748438,"Merge branch 'master' of github.com:marcelcorso/sachet
","9ecd3e4458476cf1776b6f5f6f0b82f2ebb24177,e210ee9b392f508bf865d7d650958b7c6ff940ee",811,13,0,0,824,"11,0,0,0,20,149,216,114,69,99,123,18,0,2",14,821,9.0,11,13,Go
38354,getdozer_dozer,9aad03704b50f6168563181c6215736912d9805e,1678174966,"feat: support deltalake connector (#1067)

",4505adca467db64ff66856ece320564e45ae8bf8,16,0,0,0,16,"9,33,107,136,146,105,19,11,4",9,570,1.0,11,8,Rust
39986,gstreamer_gstreamer,41ed155bdfb825cd60e7d6c9baa8d6b2719b1e6f,1632510958,"Move files from gst-examples into  the ""subprojects/gst-examples/"" subdir
",a7f54159b724d4966686c84a1f93688ef157e3f2,0,0,220,0,220,"0,0,159,913,4249,2470,440,219,134,10,2,1,11,2",14,8610,1.0,11,13,C_C++
40890,ibis-project_ibis,cd5e881c975f33cf3dc8910645996ce6ac94be81,1669559121,"feat(bigquery): move bigquery backend back into the main repo
",370830b8c9f971fa537f42308ab5e3ff356919f8,249,1,0,1,251,"29,33,124,208,133,56,150,59,90,171,4",11,1057,2.0,11,10,Python
41647,apache_plc4x,d62583bf9dde5a85e4652caf9ab365eae5291c29,1565786800,"initial import of logstash plugin
",1983930c08bb230945a70cc350f64d4e3e40ea04,1335,0,0,0,1335,"15,21,35,122,88,39,92,47,133,359,435,469,255,356,252,23,4",17,2745,1.0,11,16,Java
42042,apache_plc4x,08dbabb2b87c9837d902f1319847c979551f5830,1645797638,"Merge branch 'feature/cleaned-up-type-references' into develop
","ec0694a700cb72c9a939834142c3488e711c3b0b,34d0887f2af52f268eb8c19cf48277d82852ce26",6,2,0,0,8,"18,35,71,162,383,338,831,105,269,19,230,353,489,204,190,30,1",17,3728,1.0,11,16,Java
42399,eu-digital-green-certificates_dgca-wallet-app-android,b3d059cf726847cee896cc2fe90c6d7a7fc8c1a8,1656795263,"Feature/multi cert (#202)

* Multi-type certificates approach

* Navigation fix (#182)

* - update formatting; (#184)

- fix menu item selection;

* Verifiable credentials (#183)

* - integrated VC/SHC functionality;

* - update UI;

* - save VC items into DB and display on dashboard;

* - update UI to display VC items;
- fix navigation;
- add detailed view and settings page;

* - add delete functions;
- disconnect settings;

* - update version;

* - parse nbf value;
- fix unzip crash;

* - fix missing reference;

* - fix JWK parsing;

* - fix empty lists in payload;

* - add settings page with reload functionality;

* User local issuer list; (#188)

* - add user trusted issuers to local DB;
- update flavors;

* - version update;

* - version update;

* Fixed PDF file sharing (#189)

* Version code update 48 -> 49

* Fix NFC functionality for dcc certificates; (#191)

* - fix NFC functionality for dcc certificates;

* - remove exception throw method;

* - version update;

* Fix NFC reader in wallet (#192)

* - fix nfc reader feature, add language parsing;

* - version update;

* Fixed validFrom rules processing. Increased version (#193)

* - increase NDEF message size; (#194)

- version update;

* Added revocation update on certificate claiming (#195)

* Version code update 54->55

* Fixed device credential log in dialog text (#198)

* - update encrypt/decrypt from ECB to  GCM; (#199)

* Feature/revocation config url (#200)

* Documentation (#201)

Co-authored-by: Mykhailo Nester <nsmisha.dev@gmail.com>",0a292022b00266e60dba5b7cf2d0b38c0e1ca820,242,5,290,5,542,"15,15,44,1,9,58,139,4,12,72,75,69,41,47,12,3,5",17,621,3.0,11,16,Kotlin
42482,grafbase_grafbase,47925b7af2aca8edc93525bc893a1c9e010994da,1678106216,"feat(examples): add kotlin example (#133)

* feat(examples): add kotlin example

* update readme

* docs: update readme",104f954ea8d5a180ac20120b9a163666d8a588ae,63,0,0,0,63,"15,15,268,209,172,63,66,35,0,5,7",11,855,3.0,11,10,Rust
43018,nahive_spotify-notify,5bca72702e94ffdd882ed0e622410b004bd04cf9,1519728576,"Merge pull request #1 from nahive/develop

Develop","a67369f0f8328ecd72d2ba34c24f8d3bf3b053c4,e400a9f022404d0c4b590304251999bb11a95d7d",138,7,21,0,166,"10,6,16,18,35,29,17,17,18,3,2",11,171,6.0,11,10,Swift
43089,shikofthera_scarab-osd,c5e2e5c8fe7a517286e30e817da9465fde7dbf18,1449742113,"Merge pull request #162 from nathantsoi/mac-app

compiled mac app","3ff571cda39feed190c89c4c0a846818bc366592,5d720f60a5dac6e5aee5790fbdda2e565af499b1",599,0,0,0,599,"2,27,24,138,13,20,9,1,2,5,63,59,411,25",14,799,8.0,11,13,C_C++
43478,monomadic_ni-file,f5ea1388e77983f283a57864fb8ff63a66e65392,1697626265,"kontakt: insert effects
",2d274fd60942d079a8f4db668f0cf36d2dbc3973,25,1,21,3,50,"4,22,36,100,10,61,32,34,9",9,308,1.0,11,8,Rust
43543,coldgrub1384_edidown,f19ccd3478d3aecbbc80d9e44bed2912796e4bdb,1551369010,"Preview Tex math expressions
",afa8ba4faa3d0a30a77264444bcb4ca3c277eaef,32362,0,0,0,32362,"8,17,24,104,434,402,681,220,246,29610,697",11,32443,6.0,11,10,Swift
43650,microsoft_graphengine,64be099b0b7113a70cefb9d9b08f1389905f7d47,1655193825,"Restructure src directory
",a92e6e28e233339ca8681916ce8a20875183e68d,0,0,335,0,335,"12,29,65,156,438,287,73,27,0,0,0,0,6",13,1093,1.0,11,12,C#
43659,oliverw_miningcore,4bab90a8b883f4fcd71e1afc05922b5c63d99c9c,1499020568,"Re-arrange source structure
",6913f12e720b9f5abe47cf7752b26d8343741d61,149,148,1265,0,1562,"1,0,0,13,136,248,72,118,293,257,122,20,28,107",14,1415,1.0,11,13,C_C++
43962,easychen_checkchan-dist,a660468d22061e9af4736ccddaf7a9a6e4d8e3a9,1660149224,"修正正则匹配模式
",6fc93ee77967b48393791942eeb1f0ae345ce929,62,0,0,0,62,"12,62,20,79,1,98,0,0,16,1,12",11,301,5.0,11,10,JavaScript
